Identifier,GISJOIN,Year,Population,Households
20,G47009300057112,2020,2318,870
21,G47009300058121,2020,7846,2654
22,G47009300046111,2020,1919,774
23,G47009300059071,2020,5375,2184
24,G47009300058031,2020,2829,1183
25,G47009300046093,2020,2074,937.38
26,G47009300046112,2020,2425,994
27,G47009300057013,2020,1376,540
28,G47009300057111,2020,3633,1371
29,G47009300058081,2020,2795,1186
30,G47009300058092,2020,2675,1092
31,G47009300058102,2020,1042,415
32,G47009300057124,2020,2377,1163
33,G47009300058101,2020,2887,914
34,G47000100213024,2020,1712,742
35,G47009300057121,2020,1656,576
36,G47009300057122,2020,2178,782
37,G47009300046063,2020,2110,868
38,G47009300057102,2020,867,381
39,G47009300046092,2020,1146,467
40,G47009300046102,2020,1353,683.28
41,G47009300046121,2020,2758,1238
42,G47009300046091,2020,1825,958
43,G47009300057061,2020,3054,1332
44,G47009300057062,2020,1605,779
45,G47009300057072,2020,1251,459
46,G47009300058071,2020,3289,1268
47,G47009300059042,2020,4345,1829
48,G47009300059082,2020,2031,799
49,G47009300060023,2020,2474,985
50,G47009300057091,2020,2590,1054
51,G47009300060032,2020,2137,843
52,G47009300057071,2020,2398,1118
53,G47009300059081,2020,3492,1348
54,G47009300058082,2020,2643,1056
55,G47009300057081,2020,3173,1235
56,G47009300058111,2020,3700,1372
57,G47009300058131,2020,4164,1462.11
58,G47009300058132,2020,2448,997.89
59,G47009300059043,2020,2182,1038
60,G47009300059061,2020,2461,911
61,G47009300058091,2020,2801,1098
62,G47009300046061,2020,2503,1021
63,G47009300059051,2020,3265,1503
64,G47009300060011,2020,4527,1852
65,G47009300046062,2020,2369,977
66,G47009300057101,2020,1566,602
67,G47014500302012,2020,1427,664
68,G47014500302013,2020,1661,718
69,G47014500302011,2020,1313,627
1,G47010500601002,1990,1605.76,601.23
2,G47010500601003,1990,675.02,238.83
3,G47010500602023,1990,912,418
4,G47010500602024,1990,824,349
5,G47010500603011,1990,886.09,348.04
6,G47010500603024,1990,1355,520
7,G47010500601001,1990,1094.8,375.64
8,G47010500602025,1990,1979,730
9,G47010500602011,1990,395.1,138.02
10,G47010500602022,1990,774,332
11,G47010500603023,1990,719.13,276.06
12,G47010500603022,1990,1020,370
13,G47010500603021,1990,844.91,318.96
14,G47010500602021,1990,1803.9,792.98
15,G47010500603012,1990,1060.87,455.94
16,G47010500602012,1990,1927,696
17,G47009300059032,1990,657.38,232.78
18,G47009300059031,1990,743,301
19,G47009300059041,1990,898.36,287.52
20,G47009300057112,1990,1597.39,519.24
21,G47009300058121,1990,777,293
22,G47009300046111,1990,1982.26,703.7
23,G47009300059071,1990,1287.05,494.02
24,G47009300058031,1990,2449,911
25,G47009300046093,1990,2260.65,915.11
26,G47009300046112,1990,1403,537
27,G47009300057013,1990,777.07,288.89
28,G47009300057111,1990,1663.03,598.29
29,G47009300058081,1990,2337.18,745.52
30,G47009300058092,1990,2243,777
31,G47009300058102,1990,1017,356
32,G47009300057124,1990,1019.63,346.01
33,G47009300058101,1990,434,116
34,G47000100213024,1990,1381,499
35,G47009300057121,1990,854.34,254.9
36,G47009300057122,1990,1027.78,325.8
37,G47009300046063,1990,1198,447
38,G47009300057102,1990,251,85
39,G47009300046092,1990,1150,459
40,G47009300046102,1990,917.71,449.65
41,G47009300046121,1990,1223,461
42,G47009300046091,1990,1770,789
43,G47009300057061,1990,1733.98,613.99
44,G47009300057062,1990,1395,573
45,G47009300057072,1990,386.1,140.75
46,G47009300058071,1990,1513,585
47,G47009300059042,1990,1769,634
48,G47009300059082,1990,756.69,318.38
49,G47009300060023,1990,1042,396
50,G47009300057091,1990,1080.61,351.76
51,G47009300060032,1990,1568,542
52,G47009300057071,1990,499.72,271.54
53,G47009300059081,1990,1890.26,659.6
54,G47009300058082,1990,2154.82,742.48
55,G47009300057081,1990,1030.18,341.42
56,G47009300058111,1990,1218,393
57,G47009300058131,1990,1970.28,648.79
58,G47009300058132,1990,1449.72,502.21
59,G47009300059043,1990,1034.97,380.99
60,G47009300059061,1990,984,356
61,G47009300058091,1990,879,259
62,G47009300046061,1990,1154,407
63,G47009300059051,1990,1065.03,396.01
64,G47009300060011,1990,1869,681
65,G47009300046062,1990,544,202
66,G47009300057101,1990,636.93,237.11
67,G47014500302012,1990,735.42,258.74
68,G47014500302013,1990,1020.82,401.03
69,G47014500302011,1990,855.17,323.53
